id,year,state_abbr,race_id,population
0,2009,AK,0,467650
1,2009,AK,1,25161
2,2009,AK,2,91939
3,2009,AK,3,31878
4,2009,AK,4,4269
5,2009,AK,5,50632
6,2010,AK,0,464150
7,2010,AK,1,22655
8,2010,AK,2,98120
9,2010,AK,3,36021
10,2010,AK,4,6317
11,2010,AK,5,54093
12,2011,AK,0,472504
13,2011,AK,1,23426
14,2011,AK,2,97628
15,2011,AK,3,35912
16,2011,AK,4,6848
17,2011,AK,5,55404
18,2012,AK,0,477985
19,2012,AK,1,24219
20,2012,AK,2,98976
21,2012,AK,3,37968
22,2012,AK,4,7363
23,2012,AK,5,56792
24,2013,AK,0,481638
25,2013,AK,1,25033
26,2013,AK,2,101273
27,2013,AK,3,39200
28,2013,AK,4,8013
29,2013,AK,5,56757
30,2014,AK,0,484195
31,2014,AK,1,25148
32,2014,AK,2,102743
33,2014,AK,3,40976
34,2014,AK,4,8335
35,2014,AK,5,58521
36,2015,AK,0,484250
37,2015,AK,1,25022
38,2015,AK,2,101313
39,2015,AK,3,42921
40,2015,AK,4,8841
41,2015,AK,5,61755
42,2016,AK,0,483518
43,2016,AK,1,24443
44,2016,AK,2,103574
45,2016,AK,3,44218
46,2016,AK,4,8862
47,2016,AK,5,62340
48,2017,AK,0,481971
49,2017,AK,1,23702
50,2017,AK,2,104995
51,2017,AK,3,45604
52,2017,AK,4,9075
53,2017,AK,5,62713
54,2018,AK,0,478834
55,2018,AK,1,24129
56,2018,AK,2,106660
57,2018,AK,3,46556
58,2018,AK,4,8849
59,2018,AK,5,62461
60,2019,AK,0,476015
61,2019,AK,1,24205
62,2019,AK,2,109751
63,2019,AK,3,45920
64,2019,AK,4,9204
65,2019,AK,5,60665
66,2020,AK,0,466961
67,2020,AK,1,23894
68,2020,AK,2,107298
69,2020,AK,3,47289
70,2020,AK,4,10485
71,2020,AK,5,68832
72,2021,AK,0,458520
73,2021,AK,1,23721
74,2021,AK,2,107531
75,2021,AK,3,47213
76,2021,AK,4,10766
77,2021,AK,5,73946
78,2009,AL,0,3256941
79,2009,AL,1,1209938
80,2009,AL,2,22969
81,2009,AL,3,46655
82,2009,AL,4,2025
83,2009,AL,5,56490
84,2010,AL,0,3293917
85,2010,AL,1,1232325
86,2010,AL,2,25814
87,2010,AL,3,51219
88,2010,AL,4,1769
89,2010,AL,5,61370
90,2011,AL,0,3307557
91,2011,AL,1,1244112
92,2011,AL,2,26399
93,2011,AL,3,52668
94,2011,AL,4,1256
95,2011,AL,5,65673
96,2012,AL,0,3321318
97,2012,AL,1,1256097
98,2012,AL,2,26166
99,2012,AL,3,54923
100,2012,AL,4,1298
101,2012,AL,5,66839
102,2013,AL,0,3326188
103,2013,AL,1,1262152
104,2013,AL,2,25278
105,2013,AL,3,56831
106,2013,AL,4,1387
107,2013,AL,5,72145
108,2014,AL,0,3327891
109,2014,AL,1,1269808
110,2014,AL,2,25181
111,2014,AL,3,58322
112,2014,AL,4,1430
113,2014,AL,5,76428
114,2015,AL,0,3325464
115,2015,AL,1,1276544
116,2015,AL,2,23850
117,2015,AL,3,59599
118,2015,AL,4,2439
119,2015,AL,5,81646
120,2016,AL,0,3325037
121,2016,AL,1,1282053
122,2016,AL,2,23919
123,2016,AL,3,60744
124,2016,AL,4,2008
125,2016,AL,5,85412
126,2017,AL,0,3317702
127,2017,AL,1,1287167
128,2017,AL,2,25098
129,2017,AL,3,62815
130,2017,AL,4,2213
131,2017,AL,5,88834
132,2018,AL,0,3317453
133,2018,AL,1,1293186
134,2018,AL,2,25576
135,2018,AL,3,64609
136,2018,AL,4,2182
137,2018,AL,5,91619
138,2019,AL,0,3320247
139,2019,AL,1,1299048
140,2019,AL,2,25565
141,2019,AL,3,66270
142,2019,AL,4,2238
143,2019,AL,5,92220
144,2020,AL,0,3302834
145,2020,AL,1,1301319
146,2020,AL,2,24764
147,2020,AL,3,67909
148,2020,AL,4,2042
149,2020,AL,5,119322
150,2021,AL,0,3338590
151,2021,AL,1,1324233
152,2021,AL,2,21661
153,2021,AL,3,70161
154,2021,AL,4,1702
155,2021,AL,5,155315
156,2009,AR,0,2228798
157,2009,AR,1,439355
158,2009,AR,2,19233
159,2009,AR,3,31120
160,2009,AR,4,2505
161,2009,AR,5,49997
162,2010,AR,0,2253875
163,2010,AR,1,445197
164,2010,AR,2,19192
165,2010,AR,3,33327
166,2010,AR,4,4133
167,2010,AR,5,51578
168,2011,AR,0,2271277
169,2011,AR,1,449283
170,2011,AR,2,17239
171,2011,AR,3,34815
172,2011,AR,4,5031
173,2011,AR,5,54283
174,2012,AR,0,2285577
175,2012,AR,1,453062
176,2012,AR,2,17390
177,2012,AR,3,35744
178,2012,AR,4,5516
179,2012,AR,5,56104
180,2013,AR,0,2295446
181,2013,AR,1,454903
182,2013,AR,2,17945
183,2013,AR,3,37776
184,2013,AR,4,5697
185,2013,AR,5,58307
186,2014,AR,0,2306073
187,2014,AR,1,458136
188,2014,AR,2,18337
189,2014,AR,3,38409
190,2014,AR,4,6278
191,2014,AR,5,59238
192,2015,AR,0,2307849
193,2015,AR,1,459748
194,2015,AR,2,18409
195,2015,AR,3,40336
196,2015,AR,4,6845
197,2015,AR,5,62537
198,2016,AR,0,2307136
199,2016,AR,1,460638
200,2016,AR,2,18697
201,2016,AR,3,41539
202,2016,AR,4,6738
203,2016,AR,5,66079
204,2017,AR,0,2302141
205,2017,AR,1,459969
206,2017,AR,2,19476
207,2017,AR,3,42368
208,2017,AR,4,7062
209,2017,AR,5,71822
210,2018,AR,0,2302874
211,2018,AR,1,460970
212,2018,AR,2,20037
213,2018,AR,3,43988
214,2018,AR,4,7969
215,2018,AR,5,75852
216,2019,AR,0,2301044
217,2019,AR,1,459542
218,2019,AR,2,20434
219,2019,AR,3,45504
220,2019,AR,4,8733
221,2019,AR,5,80537
222,2020,AR,0,2269959
223,2020,AR,1,457840
224,2020,AR,2,19146
225,2020,AR,3,46130
226,2020,AR,4,10455
227,2020,AR,5,119980
228,2021,AR,0,2227020
229,2021,AR,1,458086
230,2021,AR,2,17459
231,2021,AR,3,46388
232,2021,AR,4,10627
233,2021,AR,5,159103
234,2009,AZ,0,4906936
235,2009,AZ,1,227282
236,2009,AZ,2,284265
237,2009,AZ,3,153301
238,2009,AZ,4,11045
239,2009,AZ,5,164255
240,2010,AZ,0,4883606
241,2010,AZ,1,240655
242,2010,AZ,2,278336
243,2010,AZ,3,166663
244,2010,AZ,4,12038
245,2010,AZ,5,166541
246,2011,AZ,0,4987541
247,2011,AZ,1,252127
248,2011,AZ,2,280986
249,2011,AZ,3,172290
250,2011,AZ,4,11933
251,2011,AZ,5,172310
252,2012,AZ,0,5085954
253,2012,AZ,1,262284
254,2012,AZ,2,283805
255,2012,AZ,3,177598
256,2012,AZ,4,12506
257,2012,AZ,5,179981
258,2013,AZ,0,5131739
259,2013,AZ,1,270027
260,2013,AZ,2,286953
261,2013,AZ,3,182953
262,2013,AZ,4,12607
263,2013,AZ,5,191265
264,2014,AZ,0,5174082
265,2014,AZ,1,274380
266,2014,AZ,2,290780
267,2014,AZ,3,191071
268,2014,AZ,4,12638
269,2014,AZ,5,200532
270,2015,AZ,0,5210335
271,2015,AZ,1,281576
272,2015,AZ,2,294721
273,2015,AZ,3,200090
274,2015,AZ,4,12471
275,2015,AZ,5,211845
276,2016,AZ,0,5235158
277,2016,AZ,1,287110
278,2016,AZ,2,296732
279,2016,AZ,3,205229
280,2016,AZ,4,12863
281,2016,AZ,5,222579
282,2017,AZ,0,5277661
283,2017,AZ,1,292831
284,2017,AZ,2,300182
285,2017,AZ,3,213417
286,2017,AZ,4,13364
287,2017,AZ,5,237908
288,2018,AZ,0,5364141
289,2018,AZ,1,305259
290,2018,AZ,2,309580
291,2018,AZ,3,228887
292,2018,AZ,4,14112
293,2018,AZ,5,252883
294,2019,AZ,0,5444453
295,2019,AZ,1,317462
296,2019,AZ,2,317414
297,2019,AZ,3,233213
298,2019,AZ,4,14458
299,2019,AZ,5,263037
300,2020,AZ,0,5292498
301,2020,AZ,1,325105
302,2020,AZ,2,311014
303,2020,AZ,3,239190
304,2020,AZ,4,14633
305,2020,AZ,5,499597
306,2021,AZ,0,4985729
307,2021,AZ,1,318827
308,2021,AZ,2,300862
309,2021,AZ,3,234495
310,2021,AZ,4,13979
311,2021,AZ,5,735021
312,2009,CA,0,22258042
313,2009,CA,1,2249404
314,2009,CA,2,283031
315,2009,CA,3,4473292
316,2009,CA,4,132535
317,2009,CA,5,1272989
318,2010,CA,0,22392713
319,2010,CA,1,2246311
320,2010,CA,2,283628
321,2010,CA,3,4747252
322,2010,CA,4,140429
323,2010,CA,5,1378348
324,2011,CA,0,22860341
325,2011,CA,1,2252129
