incident_id,offense_id
141003,38
141004,23
141005,35
141006,0
141007,35
141008,38
141009,38
141010,38
141011,0
136965,23
136966,10
136967,10
136968,23
136969,10
136970,23
136971,3
136972,23
136973,10
137118,38
137119,38
137120,23
137121,10
137122,10
137123,10
137124,38
137125,3
137126,10
137127,0
137128,35
137129,38
137130,1
137131,35
137131,46
137132,10
137133,23
137134,35
137135,1
137136,7
137137,10
137137,23
137138,23
137139,3
137140,10
137141,38
137142,8
137143,10
137144,1
137145,23
137146,10
137147,0
137148,12
137149,34
137150,38
137151,38
137152,23
137153,10
137154,38
137155,1
137156,0
141015,7
141016,38
141017,10
141018,23
141019,10
141020,7
141021,38
141022,10
141023,10
141024,1
141025,1
141026,10
141027,10
141028,10
141029,38
141030,23
141031,38
141032,38
141033,23
141034,38
141035,38
141036,23
141037,38
141038,23
141039,12
141040,12
141041,11
141042,38
141043,23
141044,10
141045,38
141046,0
141047,7
141048,10
141049,1
141049,7
141050,0
136974,38
136975,10
136976,23
136977,7
136978,38
136979,10
136980,23
136981,10
136981,23
136982,10
136983,38
136984,10
136985,0
136986,23
136987,38
136988,10
136989,10
136990,38
136991,10
136992,7
136993,10
136994,0
136995,0
136996,0
136997,10
136998,23
136999,38
137000,10
137001,0
137002,0
137003,23
137004,38
137005,38
137006,0
137006,38
137007,10
137008,10
137009,10
137010,10
137011,10
137012,10
137013,10
137014,10
137015,35
137016,10
137017,10
137018,23
137019,10
137020,38
137021,0
137022,0
137023,10
137024,10
137025,10
137026,10
137027,23
137028,38
137029,23
137030,10
137031,10
137032,10
137033,23
137033,38
137034,10
137035,23
137036,10
137037,38
137038,23
137039,10
137040,10
137041,0
137042,10
137043,38
137044,23
137045,23
137046,38
137047,10
137048,38
137049,10
137050,10
137051,38
137052,10
137053,38
137054,10
137055,10
137056,10
137057,23
137058,23
137059,10
137060,23
137061,23
137062,38
137063,38
137064,10
137065,7
137066,0
137067,10
137068,38
137069,10
137070,23
137071,23
137072,23
137073,38
137074,23
137075,38
137076,10
137077,38
137078,38
137079,10
137080,23
137081,10
137082,38
137083,38
137084,0
137085,10
137086,10
137087,23
137088,23
137089,38
137090,10
137091,7
137091,10
137091,25
137092,23
137093,23
137094,10
137095,10
137096,3
137096,10
137097,0
137098,10
137099,38
137100,10
137101,10
137102,10
137103,10
137104,10
137105,10
137106,10
137107,10
137108,38
137109,10
137110,38
137111,10
137112,10
137113,38
137114,38
137115,23
137116,23
137117,38
141012,10
141013,38
141014,10
141083,23
141084,0
141085,23
141086,0
141087,23
141088,10
141089,7
141090,23
141091,38
141092,38
141093,0
141094,23
141095,10
141096,7
141097,23
141098,10
141099,10
141100,0
141101,10
141102,10
141103,23
141104,0
141105,23
141106,23
141107,38
141108,10
141109,10
