incident_id,incident_year,incident_date,jurisdiction_id,state_abbr,offender_race_id,offender_count,victim_count
141003,2009,2009-02-17,0,AK,0,1,1
141004,2009,2009-06-30,0,AK,6,0,1
141005,2009,2009-08-05,0,AK,0,2,1
141006,2009,2009-08-28,0,AK,5,3,4
141007,2009,2009-08-28,0,AK,3,2,1
141008,2009,2009-11-07,0,AK,0,1,1
141009,2009,2009-12-16,0,AK,5,4,1
141010,2009,2009-05-04,0,AK,2,1,1
141011,2009,2009-10-05,0,AK,5,2,1
136965,2009,2009-03-06,0,AL,0,1,2
136966,2009,2009-08-30,0,AL,6,0,1
136967,2009,2009-09-07,0,AL,6,0,1
136968,2009,2009-05-05,0,AL,0,1,1
136969,2009,2009-01-04,0,AL,6,0,1
136970,2009,2009-04-19,0,AL,0,1,1
136971,2009,2009-05-08,0,AL,6,0,1
136972,2009,2009-08-26,0,AL,0,1,1
136973,2009,2009-05-26,0,AL,0,1,1
137118,2009,2009-02-08,1,AR,0,1,1
137119,2009,2009-02-05,1,AR,0,1,2
137120,2009,2009-08-01,0,AR,6,0,1
137121,2009,2009-11-08,0,AR,6,0,1
137122,2009,2009-10-30,0,AR,0,4,8
137123,2009,2009-09-09,0,AR,6,1,1
137124,2009,2009-11-21,0,AR,0,1,2
137125,2009,2009-04-06,1,AR,0,2,1
137126,2009,2009-11-23,0,AR,6,1,1
137127,2009,2009-09-15,0,AR,6,0,1
137128,2009,2009-04-14,0,AR,1,1,1
137129,2009,2009-02-25,0,AR,0,1,1
137130,2009,2009-09-29,0,AR,6,0,1
137131,2009,2009-01-20,1,AR,0,2,2
137132,2009,2009-04-22,0,AR,0,1,1
137133,2009,2009-03-09,0,AR,0,1,2
137134,2009,2009-08-25,0,AR,1,1,1
137135,2009,2009-12-16,0,AR,6,0,1
137136,2009,2009-03-01,0,AR,0,2,1
137137,2009,2009-02-28,0,AR,0,2,2
137138,2009,2009-06-22,0,AR,6,1,1
137139,2009,2009-07-17,1,AR,0,1,2
137140,2009,2009-08-12,0,AR,6,0,1
137141,2009,2009-01-10,0,AR,6,0,1
137142,2009,2009-02-28,1,AR,0,1,1
137143,2009,2009-03-16,1,AR,6,1,1
137144,2009,2009-11-19,1,AR,0,1,2
137145,2009,2009-07-23,0,AR,0,1,2
137146,2009,2009-11-08,0,AR,0,1,1
137147,2009,2009-06-18,0,AR,0,1,1
137148,2009,2009-08-13,0,AR,0,1,1
137149,2009,2009-10-10,0,AR,0,1,1
137150,2009,2009-04-10,0,AR,1,2,2
137151,2009,2009-05-19,0,AR,1,1,1
137152,2009,2009-03-10,1,AR,6,1,1
137153,2009,2009-08-03,0,AR,6,0,1
137154,2009,2009-07-01,0,AR,6,1,1
137155,2009,2009-06-15,0,AR,6,0,1
137156,2009,2009-01-01,1,AR,0,1,1
141015,2009,2009-05-28,0,AR,6,0,1
141016,2009,2009-05-29,1,AR,0,1,1
141017,2009,2009-05-11,0,AR,6,1,1
141018,2009,2009-12-22,0,AR,0,2,1
141019,2009,2009-08-12,0,AR,1,1,1
141020,2009,2009-07-10,0,AR,1,1,1
141021,2009,2009-09-26,1,AR,0,3,1
141022,2009,2009-05-10,0,AR,0,2,1
141023,2009,2009-06-25,0,AR,0,1,1
141024,2009,2009-10-01,0,AR,6,0,1
141025,2009,2009-02-06,0,AR,6,0,1
141026,2009,2009-08-10,0,AR,0,1,1
141027,2009,2009-02-18,0,AR,6,3,1
141028,2009,2009-04-02,0,AR,6,1,1
141029,2009,2009-10-09,0,AR,1,1,1
141030,2009,2009-11-05,0,AR,1,1,1
141031,2009,2009-03-06,1,AR,1,1,2
141032,2009,2009-07-06,1,AR,0,1,1
141033,2009,2009-07-02,0,AR,0,1,1
141034,2009,2009-06-24,0,AR,0,1,1
141035,2009,2009-08-06,0,AR,1,4,1
141036,2009,2009-01-01,0,AR,0,1,1
141037,2009,2009-05-08,0,AR,6,1,1
141038,2009,2009-04-07,0,AR,0,1,1
141039,2009,2009-09-09,0,AR,0,1,1
141040,2009,2009-10-24,0,AR,0,1,1
141041,2009,2009-11-27,0,AR,0,3,1
141042,2009,2009-01-29,0,AR,0,2,2
141043,2009,2009-11-01,0,AR,0,1,1
141044,2009,2009-03-12,0,AR,6,1,1
141045,2009,2009-02-28,0,AR,6,0,2
141046,2009,2009-02-07,0,AR,1,1,1
141047,2009,2009-06-29,0,AR,6,0,1
141048,2009,2009-01-18,0,AR,6,1,1
141049,2009,2009-10-05,0,AR,6,1,2
141050,2009,2009-06-13,1,AR,0,1,1
136974,2009,2009-02-22,0,AZ,6,0,1
136975,2009,2009-06-10,0,AZ,6,0,1
136976,2009,2009-04-04,5,AZ,6,0,1
136977,2009,2009-01-10,0,AZ,6,0,1
136978,2009,2009-01-27,0,AZ,1,1,1
136979,2009,2009-11-01,0,AZ,6,0,1
136980,2009,2009-02-20,0,AZ,6,0,1
136981,2009,2009-03-06,0,AZ,0,1,2
136982,2009,2009-04-24,0,AZ,6,0,1
136983,2009,2009-05-15,0,AZ,0,1,1
136984,2009,2009-07-30,0,AZ,6,0,1
136985,2009,2009-08-05,0,AZ,0,1,1
136986,2009,2009-09-06,0,AZ,0,2,1
136987,2009,2009-02-05,0,AZ,0,1,1
136988,2009,2009-04-02,0,AZ,0,1,1
136989,2009,2009-05-02,0,AZ,0,1,1
136990,2009,2009-06-29,0,AZ,0,3,4
136991,2009,2009-08-11,0,AZ,6,0,1
136992,2009,2009-09-24,0,AZ,6,0,1
136993,2009,2009-01-11,0,AZ,6,0,2
