incident_id,location_id
141003,24
141004,35
141005,24
141006,24
141007,24
141008,24
141009,24
141010,37
141011,24
136965,35
136966,35
136967,35
136968,13
136969,9
136970,37
136971,20
136972,35
136973,10
137118,35
137119,35
137120,31
137121,33
137122,9
137123,9
137124,33
137125,35
137126,35
137127,24
137128,29
137129,24
137130,31
137131,24
137132,24
137133,35
137134,24
137135,35
137136,35
137137,35
137138,35
137139,35
137140,35
137141,33
137142,6
137143,31
137144,35
137145,35
137146,34
137147,35
137148,44
137149,35
137150,40
137151,27
137152,31
137153,33
137154,24
137155,35
137156,35
141015,37
141016,24
141017,22
141018,35
141019,35
141020,35
141021,34
141022,31
141023,33
141024,31
141025,35
141026,35
141027,35
141028,35
141029,40
141030,35
141031,40
141032,35
141033,35
141034,35
141035,24
141036,24
141037,24
141038,10
141039,24
141040,24
141041,35
141042,40
141043,31
141044,31
141045,37
141046,35
141047,31
141048,31
141049,35
141050,35
136974,24
136975,10
136976,35
136977,35
136978,35
136979,22
136980,40
136981,35
136982,35
136983,33
136984,35
136985,37
136986,35
136987,20
136988,35
136989,16
136990,7
136991,31
136992,35
136993,35
136994,24
136995,24
136996,37
136997,35
136998,24
136999,31
137000,35
137001,35
137002,10
137003,35
137004,24
137005,27
137006,28
137007,35
137008,35
137009,40
137010,40
137011,35
137012,35
137013,31
137014,33
137015,31
137016,44
137017,33
137018,35
137019,35
137020,24
137021,24
137022,13
137023,35
137024,35
137025,35
137026,35
137027,33
137028,24
137029,35
137030,9
137031,9
137032,35
137033,7
137033,33
137034,40
137035,31
137036,35
137037,31
137038,35
137039,35
137040,10
137041,40
137042,9
137043,24
137044,35
137045,31
137046,35
137047,33
137048,35
137049,33
137050,9
137051,35
137052,37
137053,35
137054,33
137055,37
137056,35
137057,35
137058,35
137059,35
137060,18
137061,35
137062,24
137063,24
137064,35
137065,35
137066,23
137067,9
137068,35
137069,31
137070,31
137071,40
137072,35
137073,35
137074,24
137075,37
137076,7
137077,33
137078,33
137079,33
137080,23
137081,35
137082,37
137083,33
137084,33
137085,25
137086,35
137087,28
137088,35
137089,13
137090,35
137091,40
137092,9
137093,7
137094,9
137095,10
137096,35
137097,31
137098,35
137099,35
137100,35
137101,9
137102,40
137103,40
137104,40
137105,40
137106,40
137107,40
137108,35
137109,35
137110,35
137111,35
137112,35
137113,40
137114,31
137115,7
137116,10
137117,24
141012,24
141013,10
141014,40
141083,9
141084,33
141085,25
141086,33
141087,35
141088,35
141089,35
141090,24
141091,7
141092,24
141093,35
141094,40
141095,35
141096,40
141097,35
141098,40
141099,9
141100,35
141101,40
141102,44
141103,35
141104,35
141105,35
141106,35
141107,7
141108,33
141109,37
141110,35
141111,24
141112,24
141113,35
141114,35
141115,35
141116,35
141117,2
141118,35
141119,33
141120,31
141121,24
141122,24
141123,35
141124,35
141125,35
141126,24
141127,24
141128,35
141129,23
141130,24
141131,9
141132,16
141133,2
141134,35
141135,35
141136,7
141137,35
141138,44
141139,24
141140,35
141141,23
141142,24
141143,22
141144,7
141145,31
141146,33
141147,33
141148,33
141149,24
141150,28
141151,33
141152,24
141153,35
141154,24
137157,40
137158,35
137159,18
137160,33
137161,35
137162,24
137163,35
137164,24
137165,24
137166,35
137167,40
137168,9
137169,40
137170,35
137171,35
137172,35
137173,25
137174,9
137175,24
137176,35
137177,41
137178,24
137179,35
137180,40
137181,40
137182,20
137183,35
137184,20
137185,35
137186,40
137187,41
137188,35
137189,24
137190,35
137191,35
137192,2
137193,40
137194,40
137195,40
137196,23
137197,40
137198,40
137199,35
137200,10
137201,35
137202,23
137203,35
137204,35
137205,35
137206,7
137207,37
137208,24
137209,9
137210,35
137211,40
137212,35
137213,25
137214,24
137215,40
137216,35
137217,24
137218,35
137219,35
137220,35
137221,37
137222,20
137223,35
137224,41
137225,35
137226,9
137227,40
137228,35
137229,35
137230,9
137231,35
137232,35
137233,40
137234,27
137235,20
137236,40
137237,35
137238,35
137239,27
137240,9
137241,35
137242,24
137243,35
137244,24
137245,24
137246,20
137247,24
137248,35
137249,37
137250,24
137251,35
137252,24
137253,10
137254,24
137255,10
137256,20
137257,40
137258,40
137259,31
137260,35
137261,9
137262,35
137263,2
137264,33
137265,40
137266,24
137267,33
137268,37
137269,35
137270,33
137271,20
137272,24
137273,20
137274,40
137275,40
137276,35
137277,24
137278,33
137279,40
137280,40
137281,35
137282,35
137283,28
137284,2
137285,40
137286,24
137287,35
137288,31
137289,24
137290,24
137291,35
137292,35
137293,24
137294,10
137295,9
137296,35
137297,35
137298,24
137299,37
137300,35
137301,35
137302,40
137303,10
137304,10
137305,33
137306,44
137307,35
137308,24
137309,44
137310,24
137311,35
137312,24
137313,40
137314,24
137315,24
137316,33
137317,24
137318,10
137319,40
137320,24
137321,33
137322,35
137323,40
137324,20
137325,31
137326,35
137327,24
137328,24
137329,24
137330,35
137331,24
137332,35
137333,22
137334,35
137335,24
137336,22
137337,10
137338,9
137339,35
137340,24
137341,35
137342,35
137343,24
137344,35
137345,35
137346,35
137347,20
137348,24
137349,35
137350,24
137351,35
137352,24
137353,35
137354,35
137355,40
137356,24
137357,9
137358,20
137359,22
137360,24
137361,24
137362,44
137363,35
137364,35
137365,33
137366,33
137367,24
137368,24
137369,33
137370,40
137371,37
137372,10
137373,35
137374,29
137375,33
137376,35
137377,40
137378,35
137379,24
137380,35
137381,9
137382,35
137383,35
137384,24
137385,24
137386,40
137387,24
137388,24
137389,10
137390,40
137391,35
137392,40
137393,9
137394,9
